round,wave,speed,hp_multiplier,entry1_Scout,entry1_Runner,entry1_Sprinter,entry1_Tank,entry2_Scout,entry2_Runner,entry2_Sprinter,entry2_Tank,entry3_Scout,entry3_Runner,entry3_Sprinter,entry3_Tank,entry4_Scout,entry4_Runner,entry4_Sprinter,entry4_Tank
1,1,3.0,1.0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
2,1,3.0,1.0,3,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0
3,1,3.0,1.0,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0
3,2,4.0,1.0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
4,1,3.0,1.0,2,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0
4,2,4.0,1.0,0,1,2,1,0,1,2,1,0,0,0,0,0,0,0,0
5,1,4.0,1.0,2,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0
5,2,5.0,1.0,0,1,2,1,0,2,2,2,0,0,0,0,0,0,0,0
6,1,4.0,1.2,2,2,1,0,2,2,1,0,0,0,0,0,0,0,0,0
6,2,5.0,1.2,1,2,2,1,1,2,2,1,0,0,0,0,0,0,0,0
6,3,5.0,1.5,0,1,2,2,1,2,2,2,0,0,0,0,0,0,0,0
